pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_correcta
"¿Cuál es la capital de Argentina?", "Buenos Aires", "Córdoba", "Rosario", 1
"¿En qué continente se encuentra Egipto?", "África", "Asia", "Europa", 1
"¿Cuál es el océano más grande del mundo?", "Atlántico", "Índico", "Pacífico", 3
"¿En qué año llegó Cristóbal Colón a América?", "1492", "1500", "1498", 1
"¿Cuál es el río más largo del mundo?", "Amazonas", "Nilo", "Misisipi", 1
"¿Quién pintó la Mona Lisa?", "Leonardo da Vinci", "Pablo Picasso", "Vincent van Gogh", 1
"¿Qué gas respiramos los humanos?", "Oxígeno", "Hidrógeno", "Dióxido de carbono", 1
"¿Cuál es la capital de Francia?", "Madrid", "Londres", "París", 3
"¿Cuántos continentes hay en el mundo?", "5", "6", "7", 3
"¿Quién fue el primer presidente de los Estados Unidos?", "George Washington", "Thomas Jefferson", "Abraham Lincoln", 1
"¿Cuál es la capital de España?", "Madrid", "Barcelona", "Sevilla", 1
"¿Cuántos jugadores hay en un equipo de fútbol?", "9", "10", "11", 3
"¿Quién es conocido como el 'Padre de la Patria' en Argentina?", "Juan Manuel de Rosas", "José de San Martín", "Manuel Belgrano", 2
"¿En qué año terminó la Segunda Guerra Mundial?", "1945", "1939", "1950", 1
"¿Cuál es la montaña más alta del mundo?", "K2", "Everest", "Makalu", 2
"¿En qué país se encuentra el Machu Picchu?", "Chile", "Perú", "Bolivia", 2
"¿Quién fue el primer hombre en llegar a la Luna?", "Yuri Gagarin", "Neil Armstrong", "Buzz Aldrin", 2
"¿Cuál es la capital de Japón?", "Pekín", "Seúl", "Tokio", 3
"¿Qué gas provoca el efecto invernadero?", "Oxígeno", "Dióxido de carbono", "Nitrógeno", 2
"¿Cuántos planetas tiene el sistema solar?", "8", "9", "10", 1
"¿Quién escribió 'Don Quijote de la Mancha'?", "Carlos Ruiz Zafón", "Miguel de Cervantes", "Jorge Luis Borges", 2
"¿Qué instrumento musical tiene 88 teclas?", "Guitarra", "Piano", "Violín", 2
"¿Cuál es el país más grande del mundo?", "Rusia", "China", "Estados Unidos", 1
"¿En qué ciudad se encuentra la Torre Eiffel?", "Roma", "Madrid", "París", 3
"¿Qué país tiene la forma de una bota?", "España", "Italia", "Grecia", 2
